index,group_index,final,c_name,img,lvl,branch,stim_type,p_id,accurate,react_time
21,8,1,screwdriver_n_01,phillips_screwdriver_n_01,bl,hand_tool.n.01,True,23,0,1226
22,17,1,hammer_n_02,carpenters_hammer_n_01,bl,hand_tool.n.01,True,23,1,401
23,8,1,desk_n_01,muffler_n_02,bl,furniture.n.01,False,23,1,461
24,20,1,spade_n_02,spade_n_02,hyponym,hand_tool.n.01,True,23,0,629
25,11,1,edible_fruit_n_01,cherimoya_n_02,hypernym,edible_fruit.n.01,True,23,1,376
26,6,1,edible_fruit_n_01,putty_knife_n_01,hypernym,edible_fruit.n.01,False,23,1,438
27,12,1,clothing_n_01,uplift_n_02,hypernym,clothing.n.01,True,23,1,426
28,9,1,musical_instrument_n_01,acoustic_guitar_n_01,hypernym,musical_instrument.n.01,True,23,1,429
29,5,1,musical_instrument_n_01,blazer_n_01,hypernym,musical_instrument.n.01,False,23,1,400
30,10,1,hand_tool_n_01,crescent_wrench_n_01,hypernym,hand_tool.n.01,True,23,1,454
31,18,1,bassoon_n_01,contrabassoon_n_01,bl,musical_instrument.n.01,True,23,1,634
32,7,1,trouser_n_01,granadilla_n_04,bl,clothing.n.01,False,23,1,483
33,19,1,clothing_n_01,face_veil_n_01,hypernym,clothing.n.01,True,23,0,628
34,13,1,cathedra_n_01,acoustic_guitar_n_01,hyponym,furniture.n.01,False,23,1,1312
35,16,1,brassiere_n_01,uplift_n_02,bl,clothing.n.01,True,23,1,696
36,14,1,furniture_n_01,pew_n_01,hypernym,furniture.n.01,True,23,1,485
37,1,1,clothing_n_01,blazer_n_01,hypernym,clothing.n.01,True,23,1,492
38,15,1,baby_bed_n_01,cradle_n_01,bl,furniture.n.01,True,23,1,652
39,4,1,furniture_n_01,floor_lamp_n_01,hypernym,furniture.n.01,True,23,1,868
40,2,1,cloak_n_02,cape_n_02,bl,clothing.n.01,True,23,1,606
41,3,1,hand_tool_n_01,cathedra_n_01,hypernym,hand_tool.n.01,False,23,1,1235
42,19,1,heckelphone_n_01,heckelphone_n_01,hyponym,musical_instrument.n.01,True,23,1,512
43,11,1,clementine_n_02,bikini_n_02,hyponym,edible_fruit.n.01,False,23,1,448
44,3,1,lamp_n_02,floor_lamp_n_01,bl,furniture.n.01,True,23,1,315
45,2,1,stradavarius_n_01,miniskirt_n_01,hyponym,musical_instrument.n.01,False,23,1,496
46,18,1,musical_instrument_n_01,carpenters_hammer_n_01,hypernym,musical_instrument.n.01,False,23,1,552
47,8,1,underwear_n_01,sackbut_n_01,bl,clothing.n.01,False,23,1,631
48,6,1,hand_tool_n_01,contrabassoon_n_01,hypernym,hand_tool.n.01,False,23,1,1201
49,16,1,clothing_n_01,watermelon_n_02,hypernym,clothing.n.01,False,23,1,680
50,17,1,love_seat_n_01,acoustic_guitar_n_01,hyponym,furniture.n.01,False,23,1,466
51,15,1,violin_n_01,uplift_n_02,bl,musical_instrument.n.01,False,23,1,715
52,13,1,furniture_n_01,granny_smith_n_01,hypernym,furniture.n.01,False,23,1,428
